Name,NO₂ (µg/m³),O₃ (µg/m³),Pollution Category
Ghaziabad,0.3520810551898174,256.42369805250456,4 - Borderline
Ghaziabad,0.3466453310871054,238.5187819300885,4 - Borderline
Ghaziabad,0.3377097018918339,290.5202837513792,4 - Borderline
Ghaziabad,0.394439492112841,292.27318693515923,4 - Borderline
Ghaziabad,0.3339272558781377,289.085718841757,4 - Borderline
Ghaziabad,0.2442420049271696,288.00552628605243,3 - Satisfactory
Ghaziabad,0.2842429172977412,288.0769880261606,3 - Satisfactory
Ghaziabad,0.360366562474893,286.10918895307793,4 - Borderline
Ghaziabad,0.3238555188558826,293.5875531340858,4 - Borderline
Ghaziabad,0.2435089039833637,291.0043021920854,4 - Borderline
Ghaziabad,0.2976673298745197,285.3266525779224,3 - Satisfactory
Ghaziabad,0.3520810551898174,286.5720784648196,4 - Borderline
Ghaziabad,0.5597257218874296,234.20934217521943,5 - Poor
Ghaziabad,0.3182729535259469,299.3388986651358,4 - Borderline
Ghaziabad,0.3491517280310306,302.7721262041983,4 - Borderline
Ghaziabad,0.2437888760791259,299.1115233026834,4 - Borderline
Ghaziabad,0.2440376936997063,288.96497754527223,3 - Satisfactory
Ghaziabad,0.2575297619680351,285.5562621171535,3 - Satisfactory
Ghaziabad,0.3089586615484309,279.7624672273077,4 - Borderline
Ghaziabad,0.395495189731589,279.01570959742287,4 - Borderline
Ghaziabad,0.3871347981998393,280.7305679423423,4 - Borderline
Ghaziabad,0.3198647888964113,285.48045969073235,4 - Borderline
Ghaziabad,0.2587478033764415,287.3933299318694,3 - Satisfactory
Ghaziabad,0.3836616566832751,239.48586130716717,4 - Borderline
Ghaziabad,0.3687585864028246,288.8493110217563,4 - Borderline
Ghaziabad,0.2690320658933459,291.4276467748435,4 - Borderline
Ghaziabad,0.3127337893968159,294.12908566843873,4 - Borderline
Ghaziabad,0.3724674027124715,288.8405019818859,4 - Borderline
Ghaziabad,0.2875185878311534,293.23831938675926,4 - Borderline
Ghaziabad,0.2674213526433849,298.3377959673982,4 - Borderline
Ghaziabad,0.2821579570655529,292.6163884051832,4 - Borderline
Ghaziabad,0.3332051471173298,297.4822658452005,4 - Borderline
Ghaziabad,0.3088507111425753,296.2745337122416,4 - Borderline
Ghaziabad,0.3010655871444099,296.65287559131383,4 - Borderline
Ghaziabad,1.3684627418404232,234.15685497932483,6 - Very Poor
Ghaziabad,0.3245512523515078,290.9325532006771,4 - Borderline
Ghaziabad,0.2244122710840719,288.3691864320073,3 - Satisfactory
Ghaziabad,0.2789319604460694,288.08483956169727,3 - Satisfactory
Ghaziabad,0.2704979989503954,278.1312947611573,3 - Satisfactory
Ghaziabad,0.2332302271681457,270.67281475348005,3 - Satisfactory
Ghaziabad,0.2150674519026864,272.97021873504764,3 - Satisfactory
Ghaziabad,0.3520810551898174,267.34684365820215,4 - Borderline
Ghaziabad,0.3520810551898174,266.8519735017136,4 - Borderline
Ghaziabad,0.3520810551898174,267.6366802200256,4 - Borderline
Ghaziabad,0.2344378887298353,278.8144102696594,3 - Satisfactory
Ghaziabad,0.7867180046844449,233.9712587226347,5 - Poor
Ghaziabad,0.1842096013763802,273.975885536776,3 - Satisfactory
Ghaziabad,0.2131789022664315,275.8760209702743,3 - Satisfactory
Ghaziabad,0.2831544223503741,276.0773841316601,3 - Satisfactory
Ghaziabad,0.2620560024079103,278.5627781307522,3 - Satisfactory
Ghaziabad,0.2750575445099521,275.0674723940521,3 - Satisfactory
Ghaziabad,0.2687299899513376,276.9810128882228,3 - Satisfactory
Ghaziabad,0.3006962139516012,278.23483289644577,4 - Borderline
Ghaziabad,0.2602161857786155,279.9817676365456,3 - Satisfactory
Ghaziabad,0.244030614494895,275.3703629316256,3 - Satisfactory
Ghaziabad,0.2396449425691196,276.34717693609724,3 - Satisfactory
Ghaziabad,0.6343677820947848,234.59398762448885,5 - Poor
Ghaziabad,0.2783776616963563,273.86210210511643,3 - Satisfactory
Ghaziabad,0.2241254288739358,277.96152924278493,3 - Satisfactory
Ghaziabad,0.3297507341299497,277.3906970758196,4 - Borderline
Ghaziabad,0.4232332466456113,277.6177213533496,4 - Borderline
Ghaziabad,0.3322718570146847,279.9996410507753,4 - Borderline
Ghaziabad,0.2489566955913235,280.0538677128763,3 - Satisfactory
Ghaziabad,0.3094722772730262,279.36628385081667,4 - Borderline
Ghaziabad,0.3056323313890278,286.1004118300187,4 - Borderline
Ghaziabad,0.2794364359315413,276.12921703292665,3 - Satisfactory
Ghaziabad,0.2608629323717494,272.15895722987983,3 - Satisfactory
Ghaziabad,0.2654244493554308,242.6436467662234,3 - Satisfactory
Ghaziabad,0.3153162952599775,277.9038555650825,4 - Borderline
Ghaziabad,0.2897344386771933,274.3364178352407,3 - Satisfactory
Ghaziabad,0.2230426689785677,272.6577531541367,3 - Satisfactory
Ghaziabad,0.3272359735685259,283.69895904418456,4 - Borderline
Ghaziabad,0.3346811165153774,281.4313015305852,4 - Borderline
Ghaziabad,0.4210107347756351,279.8390994908181,4 - Borderline
Ghaziabad,0.2668150799849312,279.6014149983724,3 - Satisfactory
Ghaziabad,0.2890480246410665,278.3431585534031,3 - Satisfactory
Ghaziabad,0.2508477393777967,281.2119692045362,3 - Satisfactory
Ghaziabad,0.2118435611226087,280.4284753250469,3 - Satisfactory
Ghaziabad,0.3746991444317585,237.98042511844253,4 - Borderline
Ghaziabad,0.2317239844617598,279.7976714699782,3 - Satisfactory
Ghaziabad,0.2399123393685716,280.3070956923397,3 - Satisfactory
Ghaziabad,0.2963749418805641,276.4523428287532,3 - Satisfactory
Ghaziabad,0.2980999081195671,277.17031149500343,3 - Satisfactory
Ghaziabad,0.3655608767325234,285.34797300775364,4 - Borderline
Ghaziabad,0.2893170344238932,281.5393399362424,3 - Satisfactory
Ghaziabad,0.3510486860898777,278.9517163911179,4 - Borderline
Ghaziabad,0.3520100241812051,277.45788196323707,4 - Borderline
Ghaziabad,0.3522417561260386,272.1526696180883,4 - Borderline
Ghaziabad,0.3237041971192848,270.9119035856152,4 - Borderline
Ghaziabad,0.3304557572150107,238.60045704975664,4 - Borderline
Ghaziabad,0.2980515484883883,269.6496894560664,3 - Satisfactory
Ghaziabad,0.3103077130509388,267.94229964495025,4 - Borderline
Ghaziabad,0.2949493334078825,270.8085250343823,3 - Satisfactory
Ghaziabad,0.3067041887115855,274.4816712426693,4 - Borderline
Ghaziabad,0.3392141374594389,280.98398742267244,4 - Borderline
Ghaziabad,0.3228332159670036,280.3869515537737,4 - Borderline
Ghaziabad,0.3133998619203839,276.3103449360593,4 - Borderline
Ghaziabad,0.274592975427973,274.9118779398192,3 - Satisfactory
Ghaziabad,0.2907553376731351,279.0499563357597,3 - Satisfactory
Ghaziabad,0.356078685133725,278.265345367881,4 - Borderline
Ghaziabad,0.4223334408830227,239.79725767490532,4 - Borderline
Ghaziabad,0.3408224909744628,274.11485133241297,4 - Borderline
Ghaziabad,0.3254475931868469,273.67545259365914,4 - Borderline
Ghaziabad,0.2814684365429267,276.7693405968438,3 - Satisfactory
Ghaziabad,0.2078128650195195,270.06846993483373,3 - Satisfactory
Ghaziabad,0.3520810551898174,274.001738153787,4 - Borderline
Ghaziabad,0.3700762743397131,277.6490636618741,4 - Borderline
Ghaziabad,0.3771621103048165,272.9200774247707,4 - Borderline
Ghaziabad,0.3788124909977703,276.9771828708879,4 - Borderline
Ghaziabad,0.4618739361103021,273.16299627424087,4 - Borderline
Ghaziabad,0.3520810551898174,269.0765911955112,4 - Borderline
Ghaziabad,0.3520810551898174,249.8682403819788,4 - Borderline
Ghaziabad,0.3963463371623738,241.93089649859203,4 - Borderline
Ghaziabad,0.3961207584504143,273.4920585969366,4 - Borderline
Ghaziabad,0.3015308432378264,273.45918428147814,4 - Borderline
Ghaziabad,0.2097979248276945,274.4803626534131,3 - Satisfactory
Ghaziabad,0.2065650879638997,274.0013870688647,3 - Satisfactory
Ghaziabad,0.2651698070726641,271.31874717702186,3 - Satisfactory
Ghaziabad,0.2419471328308002,267.73815972099663,3 - Satisfactory
Ghaziabad,0.237593242651519,264.34358344020615,3 - Satisfactory
Ghaziabad,0.3520810551898174,267.8680930590853,4 - Borderline
Ghaziabad,0.3080465493200946,269.4894351474093,4 - Borderline
Ghaziabad,0.289855860481234,244.0385869548343,3 - Satisfactory
Ghaziabad,0.2141803857217518,268.99322448485344,3 - Satisfactory
Ghaziabad,0.1799039364129966,269.01049147967194,3 - Satisfactory
Ghaziabad,0.2379629145449527,263.5979269403052,3 - Satisfactory
Ghaziabad,0.2010224589075193,272.6879145406496,3 - Satisfactory
Ghaziabad,0.1853603156639237,277.7262385111736,3 - Satisfactory
Ghaziabad,0.1908251780125992,274.2293688507284,3 - Satisfactory
Ghaziabad,0.20874310837579,272.22036517448373,3 - Satisfactory
Ghaziabad,0.1919676780329567,267.479904843781,3 - Satisfactory
Ghaziabad,0.1539766624275244,267.6238337035479,3 - Satisfactory
Ghaziabad,0.3235351624356276,275.2479300441512,4 - Borderline
Ghaziabad,0.4176161515234318,253.9013603445357,4 - Borderline
Ghaziabad,0.3812845373698267,268.1395136208898,4 - Borderline
Ghaziabad,0.2782686060981884,273.850229051378,3 - Satisfactory
Ghaziabad,0.2820457949808855,272.07182433550935,3 - Satisfactory
Ghaziabad,0.2493904387688082,270.2856957513485,3 - Satisfactory
Ghaziabad,0.2551429348842759,273.69131524878816,3 - Satisfactory
Ghaziabad,0.2225189721078804,274.3504612321356,3 - Satisfactory
Ghaziabad,0.2468074549846468,274.5178968232958,3 - Satisfactory
Ghaziabad,0.2367534159744197,271.8746103595698,3 - Satisfactory
Ghaziabad,0.2606234939507924,270.0981206523686,3 - Satisfactory
Ghaziabad,0.2736890177266977,255.81764568446317,3 - Satisfactory
Ghaziabad,0.2440729254384187,269.68521286684825,3 - Satisfactory
Ghaziabad,0.3520810551898174,266.1854387765908,4 - Borderline
Ghaziabad,0.2157246530176934,266.3176860834859,3 - Satisfactory
Ghaziabad,0.1968873221309176,264.1443746635713,3 - Satisfactory
Ghaziabad,0.3570548985161748,264.6333082931906,4 - Borderline
